"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование обновления сущности и её дополнений","4329","T-011","","Tue Nov 11 10:26:07 UTC 2025","passed","Tue Nov 11 10:26:11 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","patchEntityPTest"
"Тестирование работоспособности функциональности формы Form Fields при заполнении исключительно обязательного поля Name.","12547","T-002","","Tue Nov 11 10:25:38 UTC 2025","passed","Tue Nov 11 10:25:51 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillNamePTest"
"Тестирование создания сущности","6128","T-007","","Tue Nov 11 10:26:00 UTC 2025","passed","Tue Nov 11 10:26:06 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","createEntityPTest"
"Тестирование удаления сущности","4686","T-008","","Tue Nov 11 10:26:06 UTC 2025","passed","Tue Nov 11 10:26:11 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","deleteEntityPTest"
"Тестирование получения всех сущностей","11117","T-010","","Tue Nov 11 10:26:01 UTC 2025","passed","Tue Nov 11 10:26:12 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","getAllEntityPTest"
"Тестирование работоспособности базовой функциональности формы Form Fields.","17142","T-001","","Tue Nov 11 10:25:35 UTC 2025","passed","Tue Nov 11 10:25:53 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillFormPTest"
"Тестирование блокирования функционала и подсветки нативной валидаци поля Nameи при его пропуске и полном заполнении других полей.","14090","T-003","","Tue Nov 11 10:25:38 UTC 2025","passed","Tue Nov 11 10:25:52 UTC 2025","","anui.FormFieldsTest","anui.FormFieldsTest","fillNameNTest"
"Тестирование получения сущности по id","7082","T-009","","Tue Nov 11 10:26:00 UTC 2025","passed","Tue Nov 11 10:26:07 UTC 2025","","tests.api.CreationTests","tests.api.CreationTests","idGetEntityPTest"
"Тестирование работоспособности базовой функциональности создания нового клиента банка","15796","T-004","","Tue Nov 11 10:25:38 UTC 2025","passed","Tue Nov 11 10:25:54 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","createCustomerUserPTest"
"Тестирование работоспособности удаления клиента банка","18557","T-006","","Tue Nov 11 10:25:35 UTC 2025","passed","Tue Nov 11 10:25:54 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","deleteCustomerPTest"
"Тестирование работоспособности сортировки списка клиентов банка по First Name","14728","T-005","","Tue Nov 11 10:25:38 UTC 2025","passed","Tue Nov 11 10:25:53 UTC 2025","","xyzbank.ManagerUserTest","xyzbank.ManagerUserTest","sortTablePTest"
